index,id,land_use,is_living,build_floo,living_dem,living_are,share_livi,business_a,share_busi,site_area,population,footprint_,fsi,gsi,l,osr,mxi,1_BUILDING,9_RECREAT,area_recre,10_POPULAT,num_amenit,4_AMENITIE,num_transp,5_TRANSPOR,jobs_ameni,jobs_trans,num_educat,jobs_educa,8_EDUCATIO,jobs_leisu,num_leisur,6.1_NUM_MA,6_LEISURE,num_busine,jobs_busin,7_BUSINESS,7.1_NUM_CO,jobs_comme,jobs_mall,jobs_final,11_JOBS,1_norm,4_norm,5_norm,9_norm,10_norm,11_norm,6_all_num,7_all_num,8_norm,7_norm,6_norm,3_norm,IDAT,2_norm,zone_area,area,zone_area_max,radius,radius_max,zone_area_final,IDAT_final,index_perfect,index_optimyzed,optimixation_result,optimization_result,geometry,1_optimized,2_optimized,3_optimized,4_optimized,5_optimized,6_optimized,7_optimized,8_optimized,9_optimized,10_optimized,11_optimized
1084,1084,residential,1,72507.21632766724,34.588800048828126,7782.480010986328,0.303894005260018,64724.73631668091,2.52740249006844,66552.39080907709,225,25609.192271915585,1.08947575656107,0.384797480009129,2.831296495328459,0.564677567431842,0.107333868339622,0.385,0.01,653.484718,0.003380795,16.0,0.0002404121,7.0,0.00010518,667.0,132.0,2.0,163.0,3.0051e-05,560.0,16.0,1.0,0.000390669661659,51.0,670.0,0.000916571129278,1.0,180.0,165.0,1307,0.019638663,8.0,6.0,7.0,1.0,9.0,8,26.0,61.0,3.0,9.0,6.0,8.0,7.1,9.5,808012.577,66552.39080907096,1331047.8161814192,507.14730741663357,650.9114216803164,1244615.813790075,9.5,86432.00239134417,436603.23679007497,1.0,,"POLYGON ((354521.2988262087 6645840.186574666, 354505.777879373 6645778.223481562, 354484.25822494656 6645718.080076511, 354456.94710896537 6645660.335573383, 354424.10755240615 6645605.546083308, 354386.05581815034 6645554.239259026, 354343.1583652002 6645506.909213304, 354295.8283194777 6645464.011760354, 354244.5214951963 6645425.9600260975, 354189.7320051212 6645393.1204695385, 354131.98750199255 6645365.809353557, 354071.844096942 6645344.289699131, 354009.88100383786 6645328.7687522955, 353946.69496113923 6645319.395988253, 353882.8944849783 6645316.261671846, 353819.09400881734 6645319.395988253, 353755.9079661187 6645328.7687522955, 353698.0504618948 6645343.261302653, 353693.9448730146 6645344.289699131, 353692.3913966078 6645344.845541877, 353236.0587072353 6646037.319484427, 353236.91977386194 6646043.124324108, 353244.4901437479 6646094.159612386, 353260.0110905836 6646156.122705489, 353281.53074501 6646216.26611054, 353308.8418609912 6646274.010613669, 353341.6814175504 6646328.800103744, 353379.7331518062 6646380.106928025, 353422.63060475636 6646427.436973748, 353469.9606504789 6646470.334426697, 353521.26747476024 6646508.386160954, 353576.0569648354 6646541.225717513, 353633.801467964 6646568.536833494, 353693.9448730146 6646590.056487921, 353755.9079661187 6646605.577434756, 353819.09400881734 6646614.950198798, 353882.8944849783 6646618.084515206, 353946.69496113923 6646614.950198798, 354009.88100383786 6646605.577434756, 354071.844096942 6646590.056487921, 354131.98750199255 6646568.536833494, 354189.7320051212 6646541.225717513, 354244.5214951963 6646508.386160954, 354295.8283194777 6646470.334426697, 354343.1583652002 6646427.436973748, 354386.05581815034 6646380.106928025, 354424.10755240615 6646328.800103744, 354456.94710896537 6646274.010613669, 354484.25822494656 6646216.26611054, 354505.777879373 6646156.122705489, 354521.2988262087 6646094.159612386, 354530.67159025103 6646030.9735696865, 354533.8059066586 6645967.173093526, 354530.67159025103 6645903.372617365, 354521.2988262087 6645840.186574666))",8.0,9.5,8.0,6.0,7.0,6.0,9.0,4.27,2.13,9.0,8.0
1138,1138,residential,1,8803.970464229584,49.122222900390625,442.1000061035156,0.092583997866204,8361.870458126068,1.751131838870298,14408.141205564523,9,4775.12330740359,0.611041378524902,0.331418414025496,1.843715836736502,1.094167448346148,0.050215980153473,0.331,,,0.000624646,,,2.0,0.00013881,,60.0,,,,50.0,3.0,,0.000208215616241,18.0,244.0,0.00194334575158,1.0,180.0,,290,0.020127509,8.0,0.0,7.0,0.0,10.0,8,3.0,28.0,0.0,10.0,5.0,5.0,6.2,10.0,144715.37,14408.141205589744,288162.8241117949,214.62603046635596,302.8614794678008,258150.02518011286,9.2,30012.798931682017,113434.65518011287,1.0,,"POLYGON ((352845.7983898976 6648114.066750903, 352838.57667467673 6648085.236047638, 352828.5638309009 6648057.252023964, 352815.8562877291 6648030.384181327, 352800.57642574894 6648004.891271737, 352782.871398384 6647981.018805852, 352762.91171472636 6647958.996688566, 352740.8895974407 6647939.037004909, 352717.01713155507 6647921.331977543, 352691.52422196587 6647906.052115563, 352664.6563793284 6647893.344572392, 352636.6723556546 6647883.331728616, 352607.84165239014 6647876.110013395, 352578.44192496786 6647871.748975795, 352548.7563088345 6647870.2906149905, 352519.0706927011 6647871.748975795, 352489.6709652788 6647876.110013395, 352460.84026201436 6647883.331728616, 352432.85623834055 6647893.344572392, 352405.9883957031 6647906.052115563, 352390.53135339206 6647915.316710187, 352402.15017052245 6647928.136099409, 352298.91652373684 6648310.910791408, 352307.14393572975 6648307.966976326, 352284.628621658 6648316.023084518, 352282.0980430861 6648316.656961451, 352296.93619192 6648341.412917179, 352314.64121928497 6648365.285383064, 352334.6009029426 6648387.30750035, 352356.62302022823 6648407.267184008, 352380.4954861139 6648424.972211373, 352405.9883957031 6648440.252073353, 352432.85623834055 6648452.959616524, 352460.84026201436 6648462.972460301, 352489.6709652788 6648470.194175522, 352519.0706927011 6648474.555213122, 352548.7563088345 6648476.013573926, 352578.44192496786 6648474.555213122, 352607.84165239014 6648470.194175522, 352636.6723556546 6648462.972460301, 352664.6563793284 6648452.959616524, 352691.52422196587 6648440.252073353, 352717.01713155507 6648424.972211373, 352740.8895974407 6648407.267184008, 352762.91171472636 6648387.30750035, 352782.871398384 6648365.285383064, 352800.57642574894 6648341.412917179, 352815.8562877291 6648315.920007589, 352828.5638309009 6648289.052164952, 352838.57667467673 6648261.068141279, 352845.7983898976 6648232.237438014, 352850.1594274982 6648202.837710592, 352851.6177883023 6648173.152094458, 352850.1594274982 6648143.4664783245, 352845.7983898976 6648114.066750903))",8.0,10.0,5.0,1.18,7.0,5.0,10.0,0.96,0.86,10.0,8.0
1213,1213,residential,1,64534.06222343445,71.31025704325245,12764.536010742188,0.611153060973833,51769.52621269226,2.478672501955856,38789.015921488055,179,20885.98883952692,1.66372001687427,0.538451114145349,3.089825562929688,0.277419806922676,0.1977953280943,0.538,0.07,2715.823386,0.004614708,10.0,0.0002578049,,,340.0,,3.0,39.0,7.7341e-05,308.0,9.0,,0.000232024447803,8.0,87.0,0.000206243953603,,,,774,0.019954102,9.0,6.0,0.0,7.0,9.0,8,9.0,8.0,5.0,4.0,5.0,7.0,6.5,9.5,416012.196,38789.015921332866,775780.3184266574,363.8966814355812,496.92911452441,753812.3567821062,9.8,21967.961644551135,337800.1607821062,1.0,,"POLYGON ((351733.94585514267 6647172.462062308, 351713.09557009744 6647128.377838476, 351688.02467532 6647086.549577545, 351671.4068967943 6647064.143097014, 351667.06798008265 6647058.292745075, 351243.03877419845 6646867.261939061, 351235.7110840676 6646867.621925393, 351226.1356463724 6646868.092336482, 351177.8971561528 6646875.247840567, 351130.59230949654 6646887.097087808, 351084.6766779362 6646903.525963478, 351040.5924541039 6646924.376248524, 350998.764193174 6646949.4471433, 350959.5947241649 6646978.497201389, 350923.46127047535 6647011.246654847, 350890.71181701694 6647047.380108536, 350861.66175892914 6647086.549577545, 350836.5908641517 6647128.377838476, 350815.7405791065 6647172.462062308, 350799.3117034365 6647218.377693868, 350787.4624561952 6647265.682540525, 350783.87103651394 6647289.893925373, 350793.69398758985 6647317.347234504, 350785.88100248046 6647295.511403929, 350806.3413994147 6647526.526193231, 350807.64895362116 6647530.180562428, 350815.7405791065 6647552.795140685, 350836.5908641517 6647596.879364517, 350861.66175892914 6647638.707625447, 350890.71181701694 6647677.877094456, 350923.46127047535 6647714.0105481455, 350959.5947241649 6647746.7600016035, 350998.764193174 6647775.810059692, 351040.5924541039 6647800.880954469, 351084.6766779362 6647821.731239514, 351130.59230949654 6647838.160115184, 351177.8971561528 6647850.009362426, 351226.1356463724 6647857.16486651, 351274.8432171246 6647859.55771602, 351323.55078787677 6647857.16486651, 351371.78927809634 6647850.009362426, 351419.0941247526 6647838.160115184, 351465.00975631294 6647821.731239514, 351509.09398014523 6647800.880954469, 351550.92224107514 6647775.810059692, 351590.09171008423 6647746.7600016035, 351626.2251637738 6647714.0105481455, 351658.9746172322 6647677.877094456, 351688.02467532 6647638.707625447, 351713.09557009744 6647596.879364517, 351733.94585514267 6647552.795140685, 351750.3747308127 6647506.879509124, 351762.22397805395 6647459.574662467, 351769.379482138 6647411.336172248, 351771.772331649 6647362.628601496, 351769.379482138 6647313.921030744, 351762.22397805395 6647265.682540525, 351750.3747308127 6647218.377693868, 351733.94585514267 6647172.462062308))",9.0,9.5,7.0,6.0,1.36,5.0,5.94,5.0,7.0,9.0,8.0
1242,1242,residential,1,138667.824092865,28.36304648982064,83415.71972656249,5.886590967068104,55252.10436630248,3.899103664637092,82314.90512842141,2941,14170.463039341907,1.684601638992672,0.172149418349377,9.785694631705196,0.491422163251394,0.601550650067888,0.172,0.099,8126.566877,0.035728644,11.0,0.0001336331,3.0,3.6445e-05,370.0,90.0,1.0,13.0,1.2148e-05,526.0,13.0,1.0,0.000279414766549,22.0,178.0,0.000267266298439,,,165.0,816,0.00991315,5.0,5.0,5.0,9.0,5.0,7,23.0,22.0,3.0,4.0,5.0,7.0,6.0,9.5,790223.089,82314.90512843452,1646298.1025686904,501.5334699891858,723.901209871368,1643654.7948696276,9.9,2643.3076990628615,853431.7058696275,1.0,,"POLYGON ((353968.5802019218 6639765.583128063, 353965.09441973397 6639694.6284015905, 353954.6706431584 6639624.357007922, 353937.40925886173 6639555.445698991, 353913.4765034108 6639488.5581283765, 353883.1028623235 6639424.338459945, 353846.58085036755 6639363.405164212, 353804.26219448296 6639306.345062123, 353756.55444645963 6639253.707673654, 353703.9170579908 6639205.99992563, 353646.8569559019 6639163.681269746, 353585.92366016825 6639127.15925779, 353521.7039917373 6639096.785616702, 353454.8164211221 6639072.852861252, 353385.90511219215 6639055.591476955, 353315.63371852314 6639045.167700379, 353244.67899205047 6639041.681918192, 353173.7242655778 6639045.167700379, 353103.4528719088 6639055.591476955, 353034.5415629788 6639072.852861252, 352967.65399236366 6639096.785616702, 352903.4343239327 6639127.15925779, 352842.50102819904 6639163.681269746, 352785.44092611014 6639205.99992563, 352732.8035376413 6639253.707673654, 352685.095789618 6639306.345062123, 352642.7771337334 6639363.405164212, 352606.2551217774 6639424.338459945, 352575.88148069015 6639488.5581283765, 352551.9487252392 6639555.445698991, 352534.68734094256 6639624.357007922, 352524.26356436696 6639694.6284015905, 352520.7777821791 6639765.583128063, 352524.26356436696 6639836.5378545355, 352534.68734094256 6639906.809248204, 352551.9487252392 6639975.720557135, 352575.88148069015 6640042.6081277495, 352606.2551217774 6640106.827796181, 352642.7771337334 6640167.761091914, 352685.095789618 6640224.821194003, 352732.8035376413 6640277.458582472, 352785.44092611014 6640325.166330496, 352842.50102819904 6640367.48498638, 352903.4343239327 6640404.006998336, 352967.65399236366 6640434.380639424, 353034.5415629788 6640458.313394874, 353103.4528719088 6640475.574779171, 353173.7242655778 6640485.998555747, 353244.67899205047 6640489.484337934, 353315.63371852314 6640485.998555747, 353385.90511219215 6640475.574779171, 353454.8164211221 6640458.313394874, 353521.7039917373 6640434.380639424, 353585.92366016825 6640404.006998336, 353646.8569559019 6640367.48498638, 353703.9170579908 6640325.166330496, 353756.55444645963 6640277.458582472, 353804.26219448296 6640224.821194003, 353846.58085036755 6640167.761091914, 353883.1028623235 6640106.827796181, 353913.4765034108 6640042.6081277495, 353937.40925886173 6639975.720557135, 353954.6706431584 6639906.809248204, 353965.09441973397 6639836.5378545355, 353968.5802019218 6639765.583128063))",6.11,9.5,7.0,6.02,5.0,5.0,4.93,3.84,9.0,5.0,7.0
1285,1285,residential,1,35363.51980304718,29.454878469411163,17054.374633789062,1.552195715939615,18309.145169258118,1.666398053548849,19320.977311479222,579,10987.257894514461,1.830317340212214,0.568669882345267,3.218593769488464,0.235658652288528,0.482258969943358,0.569,0.023,444.938751,0.029967428,4.0,0.0002070289,,,117.0,,1.0,13.0,5.1757e-05,114.0,4.0,,0.00020702886482,7.0,183.0,0.000362300513434,,,,427,0.022100331,9.0,6.0,0.0,2.0,6.0,8,4.0,7.0,4.0,5.0,5.0,7.0,6.0,9.5,185481.382,19320.977311507777,386419.5462301555,242.9826281725346,350.71521463961733,361049.8966422254,9.5,25369.649587930122,175568.51464222537,1.0,,"POLYGON ((349214.9824791288 6646000.364192077, 349182.57682989776 6645988.769265379, 349149.19072116783 6645980.406480491, 349115.1456794169 6645975.356375602, 349080.76957700786 6645973.667585983, 349046.3934745988 6645975.356375602, 349012.3484328479 6645980.406480491, 348978.96232411795 6645988.769265379, 348946.5566748869 6646000.364192077, 348915.44356927153 6646015.079595102, 348885.922643487 6646032.773757078, 348858.2782001865 6646053.276273553, 348832.7764704709 6646076.389694086, 348809.6630499381 6646101.891423802, 348789.1605334628 6646129.535867102, 348771.46637148666 6646159.056792887, 348756.75096846203 6646190.169898502, 348745.15604176425 6646222.575547733, 348736.7932568759 6646255.961656462, 348731.743151987 6646290.0066982135, 348730.05436236825 6646324.382800623, 348731.743151987 6646358.758903032, 348736.7932568759 6646392.803944783, 348745.15604176425 6646426.190053512, 348756.75096846203 6646458.595702744, 348771.46637148666 6646489.708808359, 348789.1605334628 6646519.229734143, 348809.6630499381 6646546.874177444, 348832.7764704709 6646572.375907159, 348858.2782001865 6646595.489327692, 348885.922643487 6646615.991844168, 348915.44356927153 6646633.686006144, 348946.5566748869 6646648.401409169, 348978.96232411795 6646659.996335867, 349012.3484328479 6646668.3591207545, 349046.3934745988 6646673.409225644, 349076.8197456876 6646674.903972493, 349080.76957700786 6646675.098015263, 349089.4963900715 6646674.669294428, 349276.2071898624 6646611.517586887, 349282.0354086666 6646611.231264858, 349303.2609538292 6646595.489327692, 349328.76268354483 6646572.375907159, 349351.8761040776 6646546.874177444, 349372.3786205529 6646519.229734143, 349390.07278252905 6646489.708808359, 349404.7881855537 6646458.595702744, 349409.20445318986 6646446.253061548, 349407.96186636033 6646445.808456871, 349389.8185134711 6646437.227290038, 349302.26080892707 6646081.159378568, 349312.9962214154 6646066.68435048, 349315.27745585283 6646064.167396144, 349303.2609538292 6646053.276273553, 349275.6165105287 6646032.773757078, 349246.0955847442 6646015.079595102, 349214.9824791288 6646000.364192077))",9.0,9.5,7.0,6.0,0.72,5.0,6.03,4.93,2.82,6.0,8.0
1314,1314,residential,1,96985.31579589844,25.841544226135355,30958.169982910156,1.078835445939234,66027.14581298828,2.300924936343862,50216.04686154226,1198,28695.914747181847,1.931361026153857,0.571449099255133,3.379760382283095,0.221890622696416,0.319204713918345,0.571,,,0.023856915,22.0,0.000438107,2.0,3.9827e-05,727.0,50.0,6.0,215.0,0.000119483,1092.0,31.0,1.0,0.000816472075411,64.0,815.0,0.002270190648705,5.0,900.0,165.0,2057,0.040963001,9.0,8.0,5.0,0.0,6.0,9,41.0,114.0,10.0,10.0,9.0,8.0,7.9,9.5,710105.119,50216.04686152401,1004320.9372304801,475.42978409794347,565.4071835605134,873463.90517987,9.1,130857.03205061017,163358.78617987002,1.0,,"POLYGON ((352063.67486191425 6646099.302844813, 352022.5621283557 6646062.040435142, 351977.99500900874 6646028.987206732, 351930.40270959545 6646000.461480243, 351907.24083952047 6645989.506731554, 351890.4618019509 6645981.570837811, 351167.7273528972 6646228.40339381, 351165.2269900897 6646232.574997132, 351163.3838549331 6646236.471979002, 351149.349565462 6646266.144991003, 351149.14833058056 6646270.241221116, 351098.64198681526 6646495.491739092, 351098.46442472655 6646499.1060984405, 351099.05575170566 6646511.14283562, 351101.1870148569 6646554.525693695, 351109.3285652166 6646609.411567952, 351122.8106682252 6646663.235140238, 351141.50348386064 6646715.478060129, 351165.2269900897 6646765.637199749, 351193.7527165789 6646813.229499162, 351226.8059449884 6646857.796618509, 351235.7110840676 6646867.621925393, 351243.03877419874 6646867.261939061, 351667.06798008265 6647058.292745075, 351658.9746172322 6647047.380108536, 351671.4068967943 6647064.143097014, 351719.29120354145 6647061.79069187, 351774.1770777981 6647053.649141511, 351828.0006500842 6647040.167038502, 351880.24356997584 6647021.474222867, 351930.40270959545 6646997.750716638, 351977.99500900874 6646969.224990149, 352022.5621283557 6646936.171761739, 352056.5165345962 6646905.397281768, 352063.67486191425 6646898.909352068, 352073.3390142217 6646888.246603137, 352201.23268273764 6646329.2579227565, 352191.5269953415 6646339.966498596, 352202.4181954494 6646327.949911045, 352186.23973271344 6646282.734136752, 352162.5162264844 6646232.574997132, 352133.9904999952 6646184.982697719, 352100.9372715857 6646140.415578372, 352063.67486191425 6646099.302844813))",9.0,9.5,8.0,8.0,5.0,9.0,10.0,10.0,1.2,6.0,9.0
2194,2194,residential,0,39348.8303527832,,0.0,0.0,39348.8303527832,1.00029805511223,73283.18603778744,0,39337.10572732085,0.536942134755079,0.536782144092879,1.00029805511223,0.862696044739371,0.0,0.537,,,0.0,2.0,2.72914e-05,7.0,9.5519e-05,37.0,180.0,1.0,13.0,1.3645e-05,1148.0,29.0,4.0,0.00094155295001,38.0,355.0,0.000654993356529,1.0,180.0,660.0,1070,0.014600893,9.0,2.0,6.0,0.0,0.0,8,69.0,48.0,3.0,7.0,10.0,8.0,6.1,9.0,719714.17,73283.18603781782,1465663.7207563566,478.6357023223,683.0338587051648,1463310.4408787482,9.9,2353.279877608409,743596.2708787482,1.0,,"POLYGON ((357528.0128527692 6646691.837426465, 357524.72385804745 6646624.888400886, 357514.88854869915 6646558.584131022, 357498.6016441299 6646493.563163237, 357476.019996134 6646430.451684994, 357447.36107832607 6646369.85749433, 357412.90089175117 6646312.3641464235, 357372.97130684386 6646258.525333646, 357327.95686733455 6646208.859553195, 357278.29108688305 6646163.845113685, 357224.4522741052 6646123.915528778, 357166.95892619935 6646089.455342203, 357106.36473553494 6646060.796424395, 357043.2532572922 6646038.2147764, 356978.2322895068 6646021.92787183, 356911.92801964266 6646012.092562482, 356844.9789940641 6646008.80356776, 356778.0299684855 6646012.092562482, 356711.72569862136 6646021.92787183, 356646.704730836 6646038.2147764, 356583.59325259324 6646060.796424395, 356522.99906192883 6646089.455342203, 356465.50571402296 6646123.915528778, 356411.66690124513 6646163.845113685, 356362.00112079363 6646208.859553195, 356316.9866812843 6646258.525333646, 356277.057096377 6646312.3641464235, 356242.5969098021 6646369.85749433, 356213.9379919942 6646430.451684994, 356191.3563439983 6646493.563163237, 356175.06943942903 6646558.584131022, 356165.23413008073 6646624.888400886, 356161.94513535895 6646691.837426465, 356165.23413008073 6646758.786452044, 356175.06943942903 6646825.090721908, 356191.3563439983 6646890.111689693, 356213.9379919942 6646953.223167936, 356242.5969098021 6647013.8173586, 356277.057096377 6647071.3107065065, 356316.9866812843 6647125.149519284, 356362.00112079363 6647174.815299735, 356411.66690124513 6647219.829739245, 356465.50571402296 6647259.759324152, 356522.99906192883 6647294.219510727, 356583.59325259324 6647322.878428535, 356646.704730836 6647345.46007653, 356711.72569862136 6647361.7469811, 356778.0299684855 6647371.582290448, 356844.9789940641 6647374.87128517, 356911.92801964266 6647371.582290448, 356978.2322895068 6647361.7469811, 357043.2532572922 6647345.46007653, 357106.36473553494 6647322.878428535, 357166.95892619935 6647294.219510727, 357224.4522741052 6647259.759324152, 357278.29108688305 6647219.829739245, 357327.95686733455 6647174.815299735, 357372.97130684386 6647125.149519284, 357412.90089175117 6647071.3107065065, 357447.36107832607 6647013.8173586, 357476.019996134 6646953.223167936, 357498.6016441299 6646890.111689693, 357514.88854869915 6646825.090721908, 357524.72385804745 6646758.786452044, 357528.0128527692 6646691.837426465))",9.0,9.0,8.0,3.16,6.0,10.0,7.0,3.95,0.84,0.84,8.0
2283,2283,residential,1,20709.35656738281,37.72526660863904,13015.216979980469,2.874427460106954,7694.139587402344,1.699260653582932,9327.036060789296,345,4527.933705272975,2.22035772483443,0.485463299998199,4.573688113689888,0.231735946981322,0.628470369788282,0.485,0.014,132.946917,0.036989242,3.0,0.0003216456,,,115.0,,2.0,26.0,0.00021443,242.0,10.0,,0.00107215196069,10.0,137.0,0.00107215196069,,,,520,0.055751902,9.0,7.0,0.0,1.0,5.0,9,10.0,10.0,10.0,10.0,10.0,6.0,7.4,9.5,120094.916,9327.0360608208,186540.721216416,195.51828314306542,243.67551321181125,118490.86672626513,7.3,68049.85449015086,-1604.0492737348686,,0.0,"POLYGON ((352328.76119572297 6647867.937540392, 352307.14393572975 6647857.713337865, 352284.628621658 6647849.657229673, 352261.43208829046 6647843.846800542, 352243.7178147317 6647841.219136281, 352237.7777309239 6647840.338008083, 352218.50360046705 6647839.3911307715, 352009.04915770167 6648214.489459562, 352011.2845694527 6648218.219018752, 352025.52963500924 6648237.426266192, 352031.602978039 6648244.1271676095, 352041.5887461493 6648255.1447648965, 352059.3072448538 6648271.203876036, 352078.5144922943 6648285.448941593, 352099.0255121781 6648297.742773798, 352120.6427721713 6648307.966976326, 352143.158086243 6648316.023084518, 352166.3546196106 6648321.833513648, 352190.00897697714 6648325.342306107, 352213.8933539505 6648326.515670307, 352237.7777309239 6648325.342306107, 352261.43208829046 6648321.833513648, 352282.0980430861 6648316.656961451, 352284.628621658 6648316.023084518, 352298.91652373684 6648310.910791408, 352402.1501705225 6647928.136099409, 352390.53135339206 6647915.316710187, 352386.1979617517 6647910.535549294, 352368.47946304723 6647894.4764381545, 352349.27221560676 6647880.231372598, 352328.76119572297 6647867.937540392))",9.0,9.5,6.0,7.0,0.0,10.0,10.0,10.0,1.0,5.0,9.0
2310,2310,residential,1,53492.67512321472,21.480496003524117,24702.570404052734,1.296681069694011,28790.104719161987,1.511242885789767,55259.75823498011,1150,19050.613895274975,0.96802224316199,0.344746602297216,2.807923955483778,0.676899112940252,0.461793513731609,0.345,0.194,10693.587436,0.020810804,6.0,0.0001085781,3.0,5.4289e-05,154.0,80.0,1.0,13.0,1.8096e-05,960.0,24.0,1.0,0.00061527594557,18.0,68.0,0.000325734324125,,,165.0,480,0.008686248,8.0,5.0,6.0,0.0,6.0,7,34.0,18.0,3.0,5.0,7.0,7.0,6.1,9.5,542706.086,55259.75823504608,1105195.1647009216,415.63049992260017,593.1227082879445,1021927.899645961,9.4,83267.26505496062,479221.813645961,1.0,,"POLYGON ((352294.3792906748 6644655.960701363, 352280.23631251254 6644599.498767571, 352260.62719936797 6644544.694967696, 352235.74079772015 6644492.077092294, 352205.8167772211 6644442.151880265, 352171.1433225465 6644395.400138696, 352132.05435801926 6644352.272112412, 352088.9263317359 6644313.183147885, 352042.17459016584 6644278.50969321, 351992.2493781374 6644248.585672711, 351939.6315027344 6644223.699271063, 351884.82770286076 6644204.090157919, 351828.36576906807 6644189.947179756, 351770.789460644 6644181.406541187, 351712.6532689131 6644178.55049323, 351654.5170771822 6644181.406541187, 351596.9407687581 6644189.947179756, 351540.47883496544 6644204.090157919, 351485.6750350918 6644223.699271063, 351433.0571596888 6644248.585672711, 351383.13194766035 6644278.50969321, 351336.3802060903 6644313.183147885, 351293.25217980694 6644352.272112412, 351254.1632152797 6644395.400138696, 351219.4897606051 6644442.151880265, 351189.56574010605 6644492.077092294, 351164.6793384582 6644544.694967696, 351145.07022531366 6644599.498767571, 351130.9272471514 6644655.960701363, 351122.3866085825 6644713.537009787, 351119.53056062513 6644771.673201518, 351122.3866085825 6644829.809393249, 351130.9272471514 6644887.385701673, 351145.07022531366 6644943.847635466, 351164.6793384582 6644998.65143534, 351181.35765830806 6645033.914779885, 351192.60487109155 6645029.890462802, 351187.8270178071 6645031.600006043, 351906.3124689245 6645331.568872899, 351928.9195646047 6645323.479924723, 351939.6315027344 6645319.647131973, 351992.2493781374 6645294.760730325, 352042.17459016584 6645264.836709826, 352088.9263317359 6645230.163255151, 352132.05435801926 6645191.074290624, 352171.1433225465 6645147.946264341, 352205.8167772211 6645101.194522771, 352235.74079772015 6645051.269310743, 352260.62719936797 6644998.65143534, 352280.23631251254 6644943.847635466, 352294.3792906748 6644887.385701673, 352302.9199292437 6644829.809393249, 352305.77597720106 6644771.673201518, 352302.9199292437 6644713.537009787, 352294.3792906748 6644655.960701363))",8.0,9.5,7.0,5.96,6.0,7.0,5.87,3.78,0.69,6.0,7.0
2448,2448,residential,0,2811.002523422241,,0.0,0.0,2811.002523422241,1.000245146684904,10146.867560351999,0,2810.313584363495,0.277031557443993,0.276963660720728,1.000245146684903,2.609942152259847,0.0,0.277,0.29,2942.920492,0.0,1.0,9.85526e-05,,,35.0,,1.0,150.0,9.8552e-05,30.0,1.0,,9.8552582268e-05,13.0,290.0,0.001281183569479,,,,505,0.049769054,7.0,4.0,0.0,10.0,0.0,9,1.0,13.0,8.0,10.0,3.0,3.0,6.2,9.5,101915.138,10146.867560337816,202937.3512067563,180.11273130233,254.1593302734774,178039.32281089836,9.1,24898.028395857953,76124.18481089835,1.0,,"POLYGON ((349674.0869422461 6644466.919423097, 349654.05332835723 6644452.061482412, 349632.6598489379 6644439.2387243165, 349610.1125348897 6644428.574638981, 349586.62852917274 6644420.171927376, 349562.4339955995 6644414.111512208, 349537.76194075454 6644410.451758588, 349512.8499700131 6644409.2279119445, 349487.9379992716 6644410.451758588, 349463.26594442665 6644414.111512208, 349439.0714108534 6644420.171927376, 349415.58740513644 6644428.574638981, 349393.0400910883 6644439.2387243165, 349371.6466116689 6644452.061482412, 349351.61299778003 6644466.919423097, 349333.13218407484 6644483.669456279, 349316.382150892 6644502.150269984, 349301.5242102075 6644522.183883874, 349288.70145211235 6644543.577363293, 349278.0373667766 6644566.1246773405, 349269.6346551717 6644589.608683058, 349263.5742400037 6644613.8032166315, 349259.91448638367 6644638.475271476, 349258.6906397396 6644663.387242218, 349259.91448638367 6644688.299212959, 349263.5742400037 6644712.971267804, 349269.6346551717 6644737.165801377, 349278.0373667766 6644760.649807095, 349288.70145211235 6644783.197121142, 349301.5242102075 6644804.590600561, 349316.382150892 6644824.624214451, 349333.13218407484 6644843.105028156, 349351.61299778003 6644859.855061338, 349371.6466116689 6644874.713002023, 349393.0400910883 6644887.535760119, 349415.58740513644 6644898.199845454, 349439.0714108534 6644906.602557059, 349463.26594442665 6644912.662972227, 349487.9379992716 6644916.322725847, 349512.8499700131 6644917.546572491, 349537.76194075454 6644916.322725847, 349562.4339955995 6644912.662972227, 349586.62852917274 6644906.602557059, 349610.1125348897 6644898.199845454, 349620.4477667577 6644893.31164483, 349632.6598489379 6644887.535760119, 349638.77322017786 6644883.87154641, 349707.99853254977 6644500.694694649, 349694.25068032416 6644485.526277186, 349692.5677559513 6644483.669456279, 349674.0869422461 6644466.919423097))",7.0,9.5,3.61,4.74,0.47,3.54,10.0,8.0,10.0,0.54,9.0
